TICKET,CODIGO
3M,MMMC34
3MDRN,MMMC34
3R PETROLEUMON,RRRP3
3TENTOSON,TTEN3
524 PARTICIPON,QVQP3B
AB INBEV,ABUD34
AB INBEVDRN,ABUD34
ABB LTD,A1BB34
ABB LTDDRN,A1BB34
ABBOTT,ABTT34
ABBOTTDRN,ABTT34
ABBVIE,ABBV34
ABBVIEDRN,ABBV34
ABC BRASILPN,ABCB4
ABIOMED INC,A1BM34
ABIOMED INCDRN,A1BM34
ACCENTURE,ACNB34
ACCENTUREDRN,ACNB34
ACO ALTONAON,EALT3
ACO ALTONAPN,EALT4
ACTIVISION,ATVI34
ACTIVISIONDRN,ATVI34
ADOBE INC,ADBE34
ADOBE INCDRN,ADBE34
ADVANCE AUTO,A1AP34
ADVANCE AUTODRN,A1AP34
ADVANCED MIC,A1MD34
ADVANCED MICDRN,A1MD34
ADVANCED-DHON,ADHM3
AEGON NV,A1EG34
AEGON NVDRN,A1EG34
AERISON,AERI3
AES BRASILON,AESB3
AES CORP,A1ES34
AES CORPDRN,A1ES34
AES TIETE EON,TIET3
AES TIETE EPN,TIET4
AES TIETE EUNT,TIET11
Aesoperacoes ON,AESO3
AFLUENTE TON,AFLT3
AGRIBRASILON,GRAO3
AGROGALAXYON,AGXY3
AIRBNB,AIRB34
AKAMAI TECHN,A1KA34
AKAMAI TECHNDRN,A1KA34
ALBEMARLE CO,A1LB34
ALBEMARLE CODRN,A1LB34
ALEF S/AON,ALEF3B
ALEXANDRIA R,A1RE34
ALEXANDRIA RDRN,A1RE34
ALFA CONSORCON,BRGE3
ALFA CONSORCPNA,BRGE5
ALFA CONSORCPNB,BRGE6
ALFA CONSORCPNC,BRGE7
ALFA CONSORCPND,BRGE8
ALFA CONSORCPNE,BRGE11
ALFA CONSORCPNF,BRGE12
ALFA FINANCON,CRIV3
ALFA FINANCPN,CRIV4
ALFA HOLDINGON,RPAD3
ALFA HOLDINGPNA,RPAD5
ALFA HOLDINGPNB,RPAD6
ALFA INVESTON,BRIV3
ALFA INVESTPN,BRIV4
ALIANSCSONAEON,ALSO3
ALIBABAGR,BABA34
ALIBABAGRDRN,BABA34
Align Techno DRN,A1LG34
Align Techno,A1LG34
ALIPERTION,APTI3
ALIPERTIPN,APTI4
ALL NORTEON,FRRN3B
ALL NORTEPNA,FRRN5B
ALL NORTEPNB,FRRN6B
ALLIANCE DAT,A1LL34
ALLIANCE DATDRN,A1LL34
ALLIARON,AALR3
ALLIEDON,ALLD3
ALNYLAM PHAR,A1LN34
ALNYLAM PHARDRN,A1LN34
ALPARGATASON,ALPA3
ALPARGATASPN,ALPA4
ALPER S.A.ON,APER3
ALPHABET A,GOGL34
ALPHABET C,GOGL35
ALPHABET,GOGL34
ALPHABETDRN A,GOGL34
ALPHABETDRN C,GOGL35
ALPHAVILLEON,AVLL3
ALTERYX INC,A1YX34
ALTERYX INCDRN,A1YX34
ALTRIA GROUP,MOOO34
ALTRIA GROUPDRN,MOOO34
ALUPARON,ALUP3
ALUPARPN,ALUP4
ALUPARUNT,ALUP11
AMAZON,AMZO34
AMAZONDRN,AMZO34
AMAZONIAON,BAZA3
AMBEV S/AON,ABEV3
AMBIPARON,AMBP3
Amcor Plc DRN,A1CR34
Amcor Plc,A1CR34
AMERICAMOVIL,A1MX34
AMERICAMOVILDRN,A1MX34
AMERICAN AIR,AALL34
AMERICAN AIRDRN,AALL34
AMERICAN EXP,AXPB34
AMERICAN EXPDRN,AXPB34
AMERICAN TOW,T1OW34
AMERICAN TOWDRN,T1OW34
AMERICANASON,AMER3
AMGEN,AMGN34
AMGENDRN,AMGN34
AMPLA ENERGON,CBEE3
ANGLOGOLD AS,A1UA34
ANGLOGOLD ASDRN,A1UA34
ANIMAON,ANIM3
APA CORP,A1PA34
APA CORPDRN,A1PA34
APARTMENT IN,A1IV34
APARTMENT INDRN,A1IV34
APPLE,AAPL34
APPLEDRN,AAPL34
APPLIEDTE,A1MT34
APPLIEDTEDRN,A1MT34
ARCELOR,ARMT34
ARCELORDRN,ARMT34
AREZZO COON,ARZZ3
ARMACON,ARML3
ASML HOLD,ASML34
ASML HOLDDRN,ASML34
ASSAION,ASAI3
ASTRAZENECA,A1ZN34
ASTRAZENECADRN,A1ZN34
Atlassian Co DRN,T1AM34
Atlassian Co,T1AM34
ATMASAON,ATMP3
ATOMPARON,ATOM3
ATT INC,ATTB34
ATT INCDRN,ATTB34
AURA 360ON,AURA33
Auren ON NM,AURE3
AUTODESK INC,A1UT34
AUTODESK INCDRN,A1UT34
Autohome Inc DRN,A1TH34
Autohome Inc,A1TH34
AVALONBAY CO,A1VB34
AVALONBAY CODRN,A1VB34
AZEVEDOON,AZEV3
AZEVEDOPN,AZEV4
AZUL S.A.PN,AZUL4
AZULPN,AZUL4
AZUL4PN,AZUL4
AZUL4 PN,AZUL4
B TECH EQION,BLUT3
B TECH EQION,JBDU3
B TECH EQIPN,BLUT4
B TECH EQIPN,JBDU4
B2W - COMPANON,AMER3
B2W DIGITALON,AMER3
B3ON,B3SA3
BAHEMAON,BAHI3
BAIDU INC,BIDU34
BAIDU INCDRN,BIDU34
BANCO BMGPN,BMGB4
BANCO INTERON,BIDI3
BANCO INTERPN,BIDI4
BANCO INTERUNT,BIDI11
BANCO PANPN,BPAN4
BANCO SANTAN,B1SA34
BANCO SANTANDRN,B1SA34
BANESEON,BGIP3
BANESEPN,BGIP4
BANESTESON,BEES3
BANESTESPN,BEES4
BANK AMERICA,BOAC34
BANK AMERICADRN,BOAC34
BANPARAON,BPAR3
BANRISULON,BRSR3
BANRISULPNA,BRSR5
BANRISULPNB,BRSR6
BARCLAYS PLC,B1CS34
BARCLAYS PLCDRN,B1CS34
BARDELLAON,BDLL3
BARDELLAPN,BDLL4
BATTISTELLAON,EPAR3
BAUMERON,BALM3
BAUMERPN,BALM4
BB ETF IAGRO,AGRI11
BB ETF IAGROCI,AGRI11
BB ETF IBOV,BBOV11
BB ETF IBOVCI,BBOV11
BB ETF MILHO,CORN11
BB ETF MILHOCI,CORN11
BB ETF SP DV,BBSD11
BB ETF SP DVCI,BBSD11
BBMLOGISTICAON,BBML3
BBSEGURIDADEON,BBSE3
BBSEGURIDADE,BBSE3
BCO BRADESCOPN,BBDC4
BCO BRASIL SON,BBAS3
BCO ESTADO DPNB,BRSR6
BEMOBI TECHON,BMOB3
BERKSHIRE,BERK34
BERKSHIREDRN,BERK34
BEST BUY,BBYY34
BEST BUYDRN,BBYY34
BETAPARTON,BETP3B
Beyond Meat DRN,B2YN34
Beyond Meat,B2YN34
Bhp Group DRN,BHPG34
Bhp Group Pl DRN,B1BL34
Bhp Group Pl,B1BL34
Bhp Group,BHPG34
BIC MONARKON,BMKS3
BILIBILI INC,B1IL34
BILIBILI INCDRN,B1IL34
BIOGEN,BIIB34
BIOGENDRN,BIIB34
BIOMMON,BIOM3
BIONTECH SE,B1NT34
BIONTECH SEDRN,B1NT34
BIOSEVON,BSEV3
BITCOIN HASH,BITH11
BITCOIN HASHCI,BITH11
BK BRASILON,BKBR3
BLACKROCK,BLAK34
BLACKROCKDRN,BLAK34
BLAUON,BLAU3
Block Inc. DRN,S2QU34
Block Inc.','S2QU34
BMFBOVESPAON,B3SA3
BNY MELLON,BONY34
BNY MELLONDRN,BONY34
BOA SAFRAON,SOJA3
BOA VISTAON,BOAS3
BOEING,BOEI34
BOEINGDRN,BOEI34
BOMBRILON,BOBR3
BOMBRILPN,BOBR4
BOOKING,BKNG34
BOOKINGDRN,BKNG34
BOSTON PROP,BOXP34
BOSTON PROPDRN,BOXP34
BOSTON SCIEN,B1SX34
BOSTON SCIENDRN,B1SX34
BP PLC,B1PP34
BP PLCDRN,B1PP34
BR BROKERSON,BBRK3
BR MALLS PARON,BRML3
Br Partners UNT N2,BRBI11
BR PROPERTON,BRPR3
BRADESCOON,BBDC3
BRADESCOPN,BBDC4
BRADESPARON,BRAP3
BRADESPARPN,BRAP4
BRASILAGROON,AGRO3
BRASILON,BBAS3
BRASKEMON,BRKM3
BRASKEMPNA,BRKM5
BRASKEMPNB,BRKM6
BRAVA ENERGIAON,BRAV3
BRB BANCOON,BSLI3
BRB BANCOPN,BSLI4
BRF S.A.ON,BRFS3
BRF SAON,BRFS3
BRISANETON,BRIT3
BRISTOLMYERS,BMYB34
BRISTOLMYERSDRN,BMYB34
BRITISH AMER,B1TI34
BRITISH AMERDRN,B1TI34
BRLLS PARON,BRML3
BROADCOM INC,AVGO34
BROADCOM INCDRN,AVGO34
BRQON,BRQB3
BTG COMMODIT,CMDB11
BTG COMMODITCI,CMDB11
BTG S&P 500,SPXB11
BTG S&P 500CI,SPXB11
BTG SMLL CAP,SMAB11
BTG SMLL CAPCI,SMAB11
BTGP BANCOON,BPAC3
BTGP BANCOPNA,BPAC5
BTGP BANCOUNT,BPAC11
CABINDA PARTON,CABI3B
CACONDE PARTON,CACO3B
CAIXA SEGURION,CXSE3
CAIXA SEGURIONR,CXSE3
CAIXAETFXBOV,XBOV11
CAIXAETFXBOVCI,XBOV11
CAMBUCION,CAMB3
CAMILON,CAML3
CAPRI HOLDI,CAPH34
CAPRI HOLDIDRN,CAPH34
CARNIVAL COR,C1CL34
CARNIVAL CORDRN,C1CL34
CARREFOUR BRON,CRFB3
CASANON,CASN3
CASANPN,CASN4
CASAS BAHIAON,BHIA3
CASAS BAHIA,BHIA3
CATERPILLAR,CATP34
CATERPILLARDRN,CATP34
CBAON,CBAV3
CCR S.A.ON ED,CCRO3
CCR S.A.ON,CCRO3
CCR SAON,CCRO3
CEA MODASON,CEAB3
CEA MODAS,CEAB3
CEBON,CEBR3
CEBPNA,CEBR5
CEBPNB,CEBR6
CEDROON,CEDO3
CEDROPN,CEDO4
CEEE-DON,CEED3
CEEE-DPN,CEED4
CEEE-GTON,EEEL3
CEEE-GTPN,EEEL4
CEEE-TON,EEEL3
CEEE-TPN,EEEL4
CEGON,CEGR3
CELESCON,CLSC3
CELESCPN,CLSC4
CELGPARON,GPAR3
CELPEON,CEPE3
CELPEPNA,CEPE5
CELPEPNB,CEPE6
CELUL IRANIPN,RANI4
CEMEPEON,MAPT3
CEMEPEPN,MAPT4
CEMIGON,CMIG3
CEMIGPN,CMIG4
CENTAUROON,SBFG3
CENTRAIS ELEON,ELET3
CESPON,CESP3
CESPPNA,CESP5
CESPPNB,CESP6
CHARTER COMM,CHCM34
CHARTER COMMDRN,CHCM34
CHEVRON,CHVX34
CHEVRONDRN,CHVX34
China Life I DRN,L1FC34
China Life I,L1FC34
CHINA PETROL,C1HI34
CHINA PETROLDRN,C1HI34
CIA FERRO LIPN,FESA4
CIA HERINGON,HGTX3
CIA LOCAÇÃOON,LCAM3
CIA SANEAMENON,SAPR3
CIA SIDERURGON,CSNA3
CIELOON,CIEL3
CIGNA CORP,C1IC34
CIGNA CORPDRN,C1IC34
CIMSON,CMSA3
CIMSPN,CMSA4
CINESYSTEMON,CNSY3
CISCO,CSCO34
CISCODRN,CSCO34
CITIGROUP,CTGP34
CITIGROUPDRN,CTGP34
CLEARSALEON,CLSA3
COCA COLA,COCA34
COCA COLADRN,COCA34
COELBAON,CEEB3
COELBAPNA,CEEB5
COELBAPNB,CEEB6
COELCEON,COCE3
COELCEPNA,COCE5
COELCEPNB,COCE6
COGNA ONON,COGN3
COGNAONON,COGN3
COLGATE,COLG34
COLGATEDRN,COLG34
COMCAST,CMCS34
COMCASTDRN,CMCS34
Comerc Par ON,COMR3
COMGASON,CGAS3
COMGASPNA,CGAS5
COMPASSON,PASS3
COMPASSPNA,PASS5
COMPASSPNB,PASS6
CONC RIO TERON,CRTE3B
CONC RIO TERPNA,CRTE5B
CONST A LINDON,CALI3
CONST A LINDPN,CALI4
COPASAON,CSMG3
Copel UNT N2,CPLE11
COPELON,CPLE3
COPELPNA,CPLE5
COPELPNB,CPLE6
COPHILLIPS,COPH34
COPHILLIPSDRN,COPH34
COR RIBEIROON,CORR3
COR RIBEIROPN,CORR4
CORTEVA INC,C1TV34
CORTEVA INCDRN,C1TV34
COSAN LOGON,RLOG3
COSANON,CSAN3
COSERNON,CSRN3
COSERNPNA,CSRN5
COSERNPNB,CSRN6
Costar Group DRN,C1GP34
Costar Group,C1GP34
COSTCO,COWC34
COSTCODRN,COWC34
COTEMINASON,CTNM3
COTEMINASPN,CTNM4
COTY INC,COTY34
COTY INCDRN,COTY34
Coupa Softwa DRN,C1OU34
Coupa Softwa,C1OU34
CPFL ENERGIAON ED,CPFE3
CPFL ENERGIAON,CPFE3
CR2ON,CRDE3
CREDIT SUISS,C1SU34
CREDIT SUISSDRN,C1SU34
CRIPTO20 EMP,CRPT11
CRIPTO20 EMPCI,CRPT11
CRISTALON,CRPG3
CRISTALPNA,CRPG5
CRISTALPNB,CRPG6
CRUZEIRO EDUON,CSED3
CRUZEIROUON,CSED3
CRUZEIROU,CSED3
CSNMINERACAOON,CMIN3
CSN MINERACAON,CMIN3
CSNMINERACAON,CMIN3
CSNMINERACAO,CMIN3    
CSNMINERACAO ON,CMIN3
CSU CARDSYSTON,CARD3
CTC S.A.ON,CTCA3
CTRIPCOM,CRIP34
CTRIPCOMDRN,CRIP34
CURY S/AON,CURY3
CVC BRASILON,CVCB3
CVS HEALTH,CVSH34
CVS HEALTHDRN,CVSH34
CYRE COM-CCPON,CCPR3
CYRELA REALTON,CYRE3
D1000VFARMA,DMVF3
D1000VFARMAON,DMVF3
DANAHER CORP,DHER34
DANAHER CORPDRN,DHER34
DASAON,DASA3
Datadog Inc DRN,D1DG34
Datadog Inc,D1DG34
DEERE CO,DEEC34
DEERE CODRN,DEEC34
DEFI HASH,DEFI11
DEFI HASHCI,DEFI11
DELL TECHNOL,D1EL34
DELL TECHNOLDRN,D1EL34
DELTA,DEAI34
DELTADRN,DEAI34
DESKTOPON,DESK3
DEUTSCHE AK,DBAG34
DEUTSCHE AKDRN,DBAG34
Devon Energy DRN,D1VN34
Devon Energy,D1VN34
Dexcom Inc DRN,D1EX34
Dexcom Inc,D1EX34
DEXCOON,DXCO3
DEXXOS PARON,DEXP3
DEXXOS PARPN,DEXP4
Diageo Pl DRN,DEOP34
Diageo Pl,DEOP34
DIAMONDBACK,F1AN34
DIAMONDBACKDRN,F1AN34
DIGITAL REAL,D1LR34
DIGITAL REALDRN,D1LR34
DIMEDON,PNVL3
DIMEDPN,PNVL4
DIRECIONALON,DIRR3
Discovery In ,DCVY34
Discovery In DRN A,DCVY34
DOCUSIGN INC,D1OC34
DOCUSIGN INCDRN,D1OC34
DOHLERON,DOHL3
DOHLERPN,DOHL4
DOLLAR GENER,DGCO34
DOLLAR GENERDRN,DGCO34
DOMMOON,DMMO3
DOTZ SAON,DOTZ3
Dow Inc DRN,D1OW34
Dow Inc,D1OW34
DTCOM DIRECTON,DTCY3
DTCOM DIRECTPN,DTCY4
DTCOM-DIRECTON,DTCY3
DTCOM-DIRECTPN,DTCY4
DURATEXON,DTEX3
Eaton Corp P DRN,E1TN34
Eaton Corp P,E1TN34
EALT4 PN,EALT4
EALT4PN,EALT4
EALT3 ON,EALT3
EALT3ON,EALT3
EBAY,EBAY34
EBAYDRN,EBAY34
ECORODOVIASON,ECOR3
ELECTR ARTS,EAIN34
ELECTR ARTSDRN,EAIN34
ELEKTROON,EKTR3
ELEKTROPN,EKTR4
ELETROBRASON,ELET3
ELETROBRASPNA,ELET5
ELETROBRASPNB,ELET6
ELETROMIDIAON,ELMD3
ELETROPARON,LIPR3
ELETROPAULOPN,ELPL4
EMAEON,EMAE3
EMAEPN,EMAE4
EMBPAR S/AON,EPAR3
EMBRAERON,EMBR3
EMBRATEL PARON,EBTP3
EMBRATEL PARPN,EBTP4
ENAUTA PARTON,ENAT3
ENCORPARON,ECPR3
ENCORPARPN,ECPR4
ENEL AMERICA,E1NI34
ENEL AMERICADRN,E1NI34
ENERGIAS BRON,ENBR3
ENERGISA MTON,ENMT3
ENERGISA MTPN,ENMT4
ENERGISAON,ENGI3
ENERGISAPN,ENGI4
ENERGISAUNT,ENGI11
ENEVAON,ENEV3
ENGIE BRASILON,EGIE3
ENJOEION,ENJU3
EQTL MARANHAOON,EQMA3B
EQTL MARANHAOPNA,EQMA5B
EQTL MARANHAOPNB,EQMA6B
EQTL PARAON,EQPA3
EQTL PARAPNA,EQPA5
EQTL PARAPNB,EQPA6
EQTL PARAPNC,EQPA7
EQUATORIALON,EQTL3
EQUINIX INC,EQIX34
EQUINIX INCDRN,EQIX34
Equinor Asa DRN,E1QN34
Equinor Asa,E1QN34
EQUITY RESID,E1QR34
EQUITY RESIDDRN,E1QR34
ERICSSON LM,E1RI34
ERICSSON LMDRN,E1RI34
ESPACOLASERON,ESPA3
ESSEX PROPER,E1SS34
ESSEX PROPERDRN,E1SS34
ESTACIO PARTON,YDUQ3
ESTAPARON,ALPK3
Estee Lauder DRN,ELCI34
Estee Lauder,ELCI34
ESTRELAON,ESTR3
ESTRELAPN,ESTR4
ETERNITON,ETER3
ETF BRA IBOV,BOVB11
ETF BRA IBOVCI,BOVB11
ETF BTG GENB,GENB11
ETF BTG GENBCI,GENB11
ETF ESG BTG,ESGB11
ETF ESG BTGCI,ESGB11
ETF GURU,GURU11
ETF GURUCI,GURU11
ETHER HASH,ETHE11
ETHER HASHCI,ETHE11
EUCATEXON,EUCA3
EUCATEXPN,EUCA4
EVENON,EVEN3
EXCELSIORON,BAUH3
EXCELSIORPN,BAUH4
EXXON MOBIL,EXXO34
EXXON MOBILDRN,EXXO34
EZ TEC EMPREON,EZTC3
EZTECON,EZTC3
FACEBOOK,FBOK34
FACEBOOKDRN,FBOK34
FEDERAL REAL,F1RI34
FEDERAL REALDRN,F1RI34
FEDEX CORP,FDXB34
FEDEX CORPDRN,FDXB34
FER C ATLANTON,VSPT3
FER C ATLANTPN,VSPT4
FER HERINGERON,FHER3
FERBASAON,FESA3
FERBASAPN,FESA4
FIBRIA CELULON,FIBR3
FIDELITY NAT,F1NI34
FIDELITY NATDRN,F1NI34
FINANSINOSON,FNCN3
FIRST SOLAR,FSLR34
FIRST SOLARDRN,FSLR34
FLEURYON,FLRY3
FLEX S/AON,FLEX3
FOCUS ONON,POWE3
FOCUSONON,POWE3
FORD MOTORS,FDMO34
FORD MOTORSDRN,FDMO34
FRAS-LEON,FRAS3
FREEPORT,FCXO34
FREEPORTDRN,FCXO34
GAFISAON,GFSA3
GFSA3 ON,GFSA3
GFSA3ON,GFSA3
Galapagos Nv DRN,G1LP34
Galapagos Nv,G1LP34
GAMA PARTON,OPGM3B
GE,GEOO34
GEDRN,GEOO34
GENERAL MOT,GMCO34
GENERAL MOTDRN,GMCO34
GENERALSHOPPON,GSHP3
GER PARANAPON,GEPA3
GER PARANAPPN,GEPA4
GERDAU METON,GOAU3
GERDAU METPN,GOAU4
GERDAUON,GGBR3
GERDAUPN,GGBR4
Getnet Br UNT,GETT11
GETNET BRON,GETT3
GETNET BRPN,GETT4
GETNINJASON,NINJ3
GILEAD,GILD34
GILEADDRN,GILD34
GLAXOSMITHKL,G1SK34
GLAXOSMITHKLDRN,G1SK34
Gol ON,GOLL3
GOLL4 PN,GOLL4
GOLD FIELDS,G1FI34
GOLD FIELDSDRN,G1FI34
GOLDMANSACHS,GSGI34
GOLDMANSACHSDRN,GSGI34
GOLPN,GOLL4
GOPRO,GPRO34
GOPRODRN,GPRO34
GP INVESTA,GPIV33
GPC PARTON,DEXP3
GPC PARTPN,DEXP4
GPSON,GGPS3
GRAZZIOTINON,CGRA3
GRAZZIOTINPN,CGRA4
GRENDENEON,GRND3
GRUPO CASAS BAHIAON,BHIA3
GRUPO CASAS BAHIA,BHIA3
GRUPO MATEUSON,GMAT3
GRUPO NATURA,NTCO3
GRUPO NATURAON,NTCO3
GRUPO SBFON,SBFG3
GRUPO SOMAON,SOMA3
GRUPOTEUSON,GMAT3
GUARARAPESON,GUAR3
HABITASULON,HBTS3
HABITASULPNA,HBTS5
HABITASULPNB,HBTS6
HAGA S/AON,HAGA3
HAGA S/APN,HAGA4
HAPVIDAON,HAPV3
Harley-David DRN,H1OG34
Harley-David,H1OG34
HASHDEX NCI,HASH11
HASHDEX NCICI,HASH11
HBR REALTYON,HBRE3
Hca Healthca DRN,H1CA34
Hca Healthca,H1CA34
HELBORON,HBOR3
HERCULESON,HETA3
HERCULESPN,HETA4
HIDROVIASON,HBSA3
Hmobi S.A ON,HMOB3
HOME DEPOT,HOME34
HOME DEPOTDRN,HOME34
HONDA MO,HOND34
HONDA MODRN,HOND34
HORIZON THER,H1ZN34
HORIZON THERDRN,H1ZN34
HOTEIS OTHONON,HOOT3
HOTEIS OTHONPN,HOOT4
HP COMPANY,HPQB34
HP COMPANYDRN,HPQB34
HSBC HOLDING,H1SB34
HSBC HOLDINGDRN,H1SB34
HYPERAON,HYPE3
IBM EC,IBMB34
IBMDRN EC,IBMB34
IGB S/AON,IGBR3
IGUA SAON,IGSN3
Iguatemi S.A ON N1,IGTI3
Iguatemi S.A UNT N1,IGTI11
IGUATEMION,IGTA3
IHPARDINION,PARD3
ILLUMINA INC,I1LM34
ILLUMINA INCDRN,I1LM34
IMC S/AON,MEAL3
IND CATAGUASON,CATA3
IND CATAGUASPN,CATA4
INDS ROMION,ROMI3
INDUSTRIAS RON,ROMI3
INDUSVALON,IDVL3
INDUSVALPN,IDVL4
INEPARON,INEP3
INEPARPN,INEP4
INFRACOMMON,IFCM3
INTEL,ITLC34
INTELBRASON,INTB3
INTELDRN,ITLC34
INTER SAON,INNT3
INTERMEDICAON,GNDI3
Intuit Inc DRN,INTU34
Intuit Inc,INTU34
Intuitive Su DRN,I1SR34
Intuitive Su,I1SR34
INVEPARON,IVPR3B
INVEPARPN,IVPR4B
INVEST BEMGEON,FIGE3
